country,technology,year,spending_usd_ppp_millions
Australia,Biofuels,1979,5.456
Australia,Biofuels,1980,9.453
Australia,Biofuels,1981,11.849
Australia,Biofuels,1983,11.95
Australia,Biofuels,1985,2.583
Australia,Biofuels,1987,0.0
Australia,Biofuels,1989,0.851
Australia,Biofuels,1993,0.799
Australia,Biofuels,1995,3.227
Australia,Biofuels,1997,4.97
Australia,Biofuels,1999,0.0
Australia,Biofuels,2001,0.0
Australia,Biofuels,2003,0.0
Australia,Biofuels,2004,12.199
Australia,Biofuels,2005,1.615
Australia,Biofuels,2006,2.316
Australia,Biofuels,2007,7.514
Australia,Biofuels,2008,6.112
Australia,Biofuels,2009,9.156
Australia,Biofuels,2010,12.632
Australia,Biofuels,2011,121.741
Australia,Biofuels,2012,37.174
Australia,Biofuels,2013,55.347
Australia,Biofuels,2014,6.299
Australia,Biofuels,2015,5.514
Australia,Biofuels,2016,6.271
Australia,Biofuels,2017,5.075
Australia,Biofuels,2018,5.923
Australia,Biofuels,2019,13.313
Australia,Biofuels,2020,4.957
Australia,Biofuels,2021,6.256
Australia,Biofuels,2022,1.249
Australia,Biofuels,2023,0.928
Australia,Biofuels,2024,6.551
Australia,CO2 capture & storage,1979,0.0
Australia,CO2 capture & storage,1980,0.0
Australia,CO2 capture & storage,1981,0.0
Australia,CO2 capture & storage,1983,0.0
Australia,CO2 capture & storage,1985,0.0
Australia,CO2 capture & storage,1987,0.0
Australia,CO2 capture & storage,1989,0.0
Australia,CO2 capture & storage,1993,0.0
Australia,CO2 capture & storage,1995,0.0
Australia,CO2 capture & storage,1997,0.0
Australia,CO2 capture & storage,1999,0.0
Australia,CO2 capture & storage,2001,0.0
Australia,CO2 capture & storage,2003,0.0
Australia,CO2 capture & storage,2004,0.0
Australia,CO2 capture & storage,2005,0.0
Australia,CO2 capture & storage,2006,0.0
Australia,CO2 capture & storage,2007,0.118
Australia,CO2 capture & storage,2008,0.029
Australia,CO2 capture & storage,2009,62.11
Australia,CO2 capture & storage,2010,180.148
Australia,CO2 capture & storage,2011,177.973
Australia,CO2 capture & storage,2012,321.761
Australia,CO2 capture & storage,2013,263.155
Australia,CO2 capture & storage,2014,69.027
Australia,CO2 capture & storage,2015,16.605
Australia,CO2 capture & storage,2016,24.868
Australia,CO2 capture & storage,2017,18.482
Australia,CO2 capture & storage,2018,20.216
Australia,CO2 capture & storage,2019,12.849
Australia,CO2 capture & storage,2020,5.886
Australia,CO2 capture & storage,2021,8.913
Australia,CO2 capture & storage,2022,76.672
Australia,CO2 capture & storage,2023,48.877
Australia,CO2 capture & storage,2024,4.622
Australia,Geothermal,1979,0.0
Australia,Geothermal,1980,0.0
Australia,Geothermal,1981,0.0
Australia,Geothermal,1983,0.162
Australia,Geothermal,1985,0.0
Australia,Geothermal,1987,0.0
Australia,Geothermal,1989,0.0
Australia,Geothermal,1993,0.0
Australia,Geothermal,1995,0.0
Australia,Geothermal,1997,0.0
Australia,Geothermal,1999,6.398
Australia,Geothermal,2001,4.954
Australia,Geothermal,2003,7.502
Australia,Geothermal,2004,2.135
Australia,Geothermal,2005,1.503
Australia,Geothermal,2006,1.445
Australia,Geothermal,2007,1.572
Australia,Geothermal,2008,1.71
Australia,Geothermal,2009,7.952
Australia,Geothermal,2010,8.989
Australia,Geothermal,2011,0.333
Australia,Geothermal,2012,63.295
Australia,Geothermal,2013,96.101
Australia,Geothermal,2014,0.181
Australia,Geothermal,2015,0.557
Australia,Geothermal,2016,0.539
Australia,Geothermal,2017,0.565
Australia,Geothermal,2018,0.486
Australia,Geothermal,2019,0.247
Australia,Geothermal,2020,0.115
Australia,Geothermal,2021,0.081
Australia,Geothermal,2022,1.315
Australia,Geothermal,2023,0.144
Australia,Geothermal,2024,0.11
Australia,Hydro,1979,0.0
Australia,Hydro,1980,0.0
Australia,Hydro,1981,0.0
Australia,Hydro,1983,0.0
Australia,Hydro,1985,0.0
Australia,Hydro,1987,0.0
Australia,Hydro,1989,0.0
Australia,Hydro,1993,0.0
Australia,Hydro,1995,0.096
Australia,Hydro,1997,0.66
Australia,Hydro,1999,0.487
Australia,Hydro,2001,0.014
Australia,Hydro,2003,0.476
Australia,Hydro,2004,2.246
Australia,Hydro,2005,1.084
Australia,Hydro,2006,0.909
Australia,Hydro,2007,0.912
Australia,Hydro,2008,1.333
Australia,Hydro,2009,0.941
Australia,Hydro,2010,0.685
Australia,Hydro,2011,0.513
Australia,Hydro,2012,1.989
Australia,Hydro,2013,0.823
Australia,Hydro,2014,0.096
Australia,Hydro,2018,0.166
Australia,Hydro,2019,0.118
Australia,Hydro,2020,0.159
Australia,Hydro,2021,0.083
Australia,Hydro,2022,0.1
Australia,Hydro,2023,0.07
Australia,Hydro,2024,0.496
Australia,Hydrogen & fuel cells,2004,0.385
Australia,Hydrogen & fuel cells,2005,0.0
Australia,Hydrogen & fuel cells,2006,0.235
Australia,Hydrogen & fuel cells,2007,0.737
Australia,Hydrogen & fuel cells,2008,0.345
Australia,Hydrogen & fuel cells,2009,1.27
Australia,Hydrogen & fuel cells,2010,2.409
Australia,Hydrogen & fuel cells,2011,2.401
Australia,Hydrogen & fuel cells,2012,0.216
Australia,Hydrogen & fuel cells,2013,1.747
Australia,Hydrogen & fuel cells,2014,3.837
Australia,Hydrogen & fuel cells,2015,3.929
Australia,Hydrogen & fuel cells,2016,3.651
Australia,Hydrogen & fuel cells,2017,5.333
Australia,Hydrogen & fuel cells,2018,28.589
Australia,Hydrogen & fuel cells,2019,42.768
Australia,Hydrogen & fuel cells,2020,39.063
Australia,Hydrogen & fuel cells,2021,65.659
Australia,Hydrogen & fuel cells,2022,114.65
Australia,Hydrogen & fuel cells,2023,108.822
Australia,Hydrogen & fuel cells,2024,32.614
Australia,Nuclear,1979,0.0
Australia,Nuclear,1980,0.0
Australia,Nuclear,1981,0.0
Australia,Nuclear,1983,40.707
Australia,Nuclear,1985,25.73
Australia,Nuclear,1987,44.775
Australia,Nuclear,1989,40.397
Australia,Nuclear,1993,1.914
Australia,Nuclear,1995,12.493
Australia,Nuclear,1997,1.837
Australia,Nuclear,1999,5.469
Australia,Nuclear,2001,5.982
Australia,Nuclear,2003,1.773
Australia,Nuclear,2004,39.417
Australia,Nuclear,2005,26.816
Australia,Nuclear,2006,20.665
Australia,Nuclear,2007,17.598
Australia,Nuclear,2008,26.987
Australia,Nuclear,2009,2.998
Australia,Nuclear,2010,2.96
Australia,Nuclear,2011,5.826
Australia,Nuclear,2012,11.087
Australia,Nuclear,2013,8.375
Australia,Nuclear,2014,7.418
Australia,Nuclear,2015,8.634
Australia,Nuclear,2016,16.503
Australia,Nuclear,2017,9.088
Australia,Nuclear,2018,7.785
Australia,Nuclear,2019,8.41
Australia,Nuclear,2020,8.693
Australia,Nuclear,2021,12.368
Australia,Nuclear,2022,13.363
Australia,Nuclear,2023,13.564
Australia,Nuclear,2024,0.631
Australia,Ocean,1979,0.0
Australia,Ocean,1980,0.0
Australia,Ocean,1981,0.0
Australia,Ocean,1983,0.162
Australia,Ocean,1985,0.0
Australia,Ocean,1987,0.0
Australia,Ocean,1989,0.0
Australia,Ocean,1993,0.266
Australia,Ocean,1995,0.064
Australia,Ocean,1997,0.214
Australia,Ocean,1999,0.091
Australia,Ocean,2001,0.0
Australia,Ocean,2003,0.0
Australia,Ocean,2004,1.056
Australia,Ocean,2005,0.577
Australia,Ocean,2006,0.339
Australia,Ocean,2007,0.172
Australia,Ocean,2008,0.558
Australia,Ocean,2009,1.361
Australia,Ocean,2010,3.488
Australia,Ocean,2011,1.421
Australia,Ocean,2012,11.848
Australia,Ocean,2013,26.578
Australia,Ocean,2014,6.555
Australia,Ocean,2015,6.741
Australia,Ocean,2016,1.35
Australia,Ocean,2017,1.343
Australia,Ocean,2018,4.805
Australia,Ocean,2019,3.582
Australia,Ocean,2020,0.186
Australia,Ocean,2021,0.181
Australia,Ocean,2022,0.282
Australia,Ocean,2023,0.109
Australia,Ocean,2024,0.445
Australia,Solar,1979,15.906
Australia,Solar,1980,20.899
Australia,Solar,1981,25.87
Australia,Solar,1983,21.419
Australia,Solar,1985,19.237
Australia,Solar,1987,2.128
Australia,Solar,1989,8.46
Australia,Solar,1993,16.576
Australia,Solar,1995,4.873
Australia,Solar,1997,6.476
Australia,Solar,1999,11.593
Australia,Solar,2001,14.877
Australia,Solar,2003,10.281
Australia,Solar,2004,14.528
Australia,Solar,2005,14.206
Australia,Solar,2006,21.703
Australia,Solar,2007,24.318
Australia,Solar,2008,19.04
Australia,Solar,2009,64.012
Australia,Solar,2010,57.292
Australia,Solar,2011,48.699
Australia,Solar,2012,94.82
Australia,Solar,2013,256.139
Australia,Solar,2014,38.318
Australia,Solar,2015,118.007
Australia,Solar,2016,42.575
Australia,Solar,2017,41.637
Australia,Solar,2018,37.472
Australia,Solar,2019,17.665
Australia,Solar,2020,16.313
Australia,Solar,2021,30.194
Australia,Solar,2022,28.26
Australia,Solar,2023,31.29
Australia,Solar,2024,10.474
Australia,Wind,1979,3.343
Australia,Wind,1980,5.723
Australia,Wind,1981,6.978
Australia,Wind,1983,1.511
Australia,Wind,1985,1.038
Australia,Wind,1987,0.085
Australia,Wind,1989,0.779
Australia,Wind,1993,0.549
Australia,Wind,1995,0.288
Australia,Wind,1997,0.362
Australia,Wind,1999,1.935
Australia,Wind,2001,1.928
Australia,Wind,2003,3.03
Australia,Wind,2004,2.609
Australia,Wind,2005,1.432
Australia,Wind,2006,3.69
Australia,Wind,2007,4.98
Australia,Wind,2008,3.231
Australia,Wind,2009,1.024
Australia,Wind,2010,3.927
Australia,Wind,2011,2.67
Australia,Wind,2012,0.04
Australia,Wind,2013,3.446
Australia,Wind,2014,0.458
Australia,Wind,2015,0.4
Australia,Wind,2016,0.474
Australia,Wind,2017,0.457
Australia,Wind,2018,0.258
Australia,Wind,2019,5.477
Australia,Wind,2020,0.376
Australia,Wind,2021,0.673
Australia,Wind,2022,0.831
Australia,Wind,2023,11.85
Australia,Wind,2024,1.245
Austria,Biofuels,1977,4.625
Austria,Biofuels,1978,7.475
Austria,Biofuels,1979,6.159
Austria,Biofuels,1980,11.948
Austria,Biofuels,1981,14.338
Austria,Biofuels,1982,12.447
Austria,Biofuels,1983,15.295
Austria,Biofuels,1984,7.078
Austria,Biofuels,1985,6.031
Austria,Biofuels,1986,5.589
Austria,Biofuels,1987,4.774
Austria,Biofuels,1988,9.176
Austria,Biofuels,1989,5.269
Austria,Biofuels,1990,3.436
Austria,Biofuels,1991,6.986
Austria,Biofuels,1992,4.553
Austria,Biofuels,1993,8.084
Austria,Biofuels,1994,8.627
Austria,Biofuels,1995,10.796
Austria,Biofuels,1996,7.574
Austria,Biofuels,1997,9.769
Austria,Biofuels,1998,10.71
Austria,Biofuels,1999,15.837
Austria,Biofuels,2000,8.183
Austria,Biofuels,2001,11.345
Austria,Biofuels,2002,13.219
Austria,Biofuels,2003,11.771
Austria,Biofuels,2004,15.743
Austria,Biofuels,2005,20.131
Austria,Biofuels,2006,23.689
Austria,Biofuels,2007,24.035
Austria,Biofuels,2008,34.379
Austria,Biofuels,2009,39.583
Austria,Biofuels,2010,28.24
Austria,Biofuels,2011,25.721
Austria,Biofuels,2012,25.796
Austria,Biofuels,2013,15.523
Austria,Biofuels,2014,16.992
Austria,Biofuels,2015,17.961
Austria,Biofuels,2016,19.278
Austria,Biofuels,2017,15.516
Austria,Biofuels,2018,13.207
Austria,Biofuels,2019,17.007
Austria,Biofuels,2020,16.667
Austria,Biofuels,2021,13.593
Austria,Biofuels,2022,14.994
Austria,Biofuels,2023,24.763
Austria,Biofuels,2024,59.479
Austria,CO2 capture & storage,1977,0.0
Austria,CO2 capture & storage,1978,0.0
Austria,CO2 capture & storage,1979,0.0
Austria,CO2 capture & storage,1980,0.0
Austria,CO2 capture & storage,1981,0.0
Austria,CO2 capture & storage,1982,0.0
Austria,CO2 capture & storage,1983,0.0
Austria,CO2 capture & storage,1984,0.0
Austria,CO2 capture & storage,1985,0.0
Austria,CO2 capture & storage,1986,0.0
Austria,CO2 capture & storage,1987,0.0
Austria,CO2 capture & storage,1989,0.0
Austria,CO2 capture & storage,1990,0.0
Austria,CO2 capture & storage,1992,0.0
Austria,CO2 capture & storage,1993,0.0
Austria,CO2 capture & storage,1995,0.0
Austria,CO2 capture & storage,1996,0.0
Austria,CO2 capture & storage,1997,0.0
Austria,CO2 capture & storage,1998,0.0
Austria,CO2 capture & storage,1999,0.0
Austria,CO2 capture & storage,2000,0.0
Austria,CO2 capture & storage,2001,0.0
Austria,CO2 capture & storage,2003,0.0
Austria,CO2 capture & storage,2004,0.0
Austria,CO2 capture & storage,2005,0.041
Austria,CO2 capture & storage,2006,0.169
Austria,CO2 capture & storage,2007,0.149
Austria,CO2 capture & storage,2008,1.001
Austria,CO2 capture & storage,2009,0.178
Austria,CO2 capture & storage,2010,1.111
Austria,CO2 capture & storage,2011,0.994
Austria,CO2 capture & storage,2012,1.367
Austria,CO2 capture & storage,2013,0.371
Austria,CO2 capture & storage,2014,0.429
Austria,CO2 capture & storage,2015,4.757
Austria,CO2 capture & storage,2016,0.654
Austria,CO2 capture & storage,2017,1.478
Austria,CO2 capture & storage,2018,0.455
Austria,CO2 capture & storage,2019,0.835
Austria,CO2 capture & storage,2020,1.612
Austria,CO2 capture & storage,2021,1.122
Austria,CO2 capture & storage,2022,0.853
Austria,CO2 capture & storage,2023,4.946
Austria,CO2 capture & storage,2024,5.957
Austria,Geothermal,1977,0.444
Austria,Geothermal,1978,0.923
Austria,Geothermal,1979,1.427
Austria,Geothermal,1980,0.898
Austria,Geothermal,1981,0.15
Austria,Geothermal,1982,0.301
Austria,Geothermal,1983,0.177
Austria,Geothermal,1984,0.226
Austria,Geothermal,1985,0.0
Austria,Geothermal,1986,0.0
Austria,Geothermal,1987,0.0
Austria,Geothermal,1988,0.059
Austria,Geothermal,1989,0.0
Austria,Geothermal,1990,0.167
Austria,Geothermal,1992,0.096
Austria,Geothermal,1993,0.192
Austria,Geothermal,1994,0.187
Austria,Geothermal,1995,0.053
Austria,Geothermal,1996,0.067
Austria,Geothermal,1997,0.099
Austria,Geothermal,1998,0.942
Austria,Geothermal,1999,0.002
Austria,Geothermal,2000,0.058
Austria,Geothermal,2001,0.162
Austria,Geothermal,2002,0.284
Austria,Geothermal,2003,0.018
Austria,Geothermal,2004,0.615
Austria,Geothermal,2005,0.151
Austria,Geothermal,2006,0.0
Austria,Geothermal,2007,0.006
Austria,Geothermal,2008,1.704
Austria,Geothermal,2009,0.722
Austria,Geothermal,2010,1.15
Austria,Geothermal,2011,0.111
Austria,Geothermal,2012,2.109
Austria,Geothermal,2013,1.46
Austria,Geothermal,2014,1.593
Austria,Geothermal,2015,1.192
Austria,Geothermal,2016,1.371
Austria,Geothermal,2017,1.358
Austria,Geothermal,2018,2.555
Austria,Geothermal,2019,0.027
Austria,Geothermal,2020,0.849
Austria,Geothermal,2021,0.916
Austria,Geothermal,2022,3.093
Austria,Geothermal,2023,2.374
Austria,Geothermal,2024,0.826
Austria,Hydro,1978,0.0
Austria,Hydro,1979,0.0
Austria,Hydro,1980,0.0
Austria,Hydro,1981,0.0
Austria,Hydro,1983,0.0
Austria,Hydro,1984,0.0
Austria,Hydro,1985,0.0
Austria,Hydro,1986,0.0
Austria,Hydro,1987,0.0
Austria,Hydro,1988,0.0
Austria,Hydro,1989,0.0
Austria,Hydro,1993,0.0
Austria,Hydro,1994,1.319
Austria,Hydro,1995,1.358
Austria,Hydro,1996,2.382
Austria,Hydro,1997,1.745
Austria,Hydro,1998,1.783
Austria,Hydro,1999,0.818
Austria,Hydro,2000,0.376
Austria,Hydro,2001,1.417
Austria,Hydro,2002,0.902
Austria,Hydro,2003,0.743
Austria,Hydro,2004,0.584
Austria,Hydro,2005,1.189
Austria,Hydro,2006,0.671
Austria,Hydro,2007,0.403
Austria,Hydro,2008,1.382
Austria,Hydro,2009,3.541
Austria,Hydro,2010,3.367
Austria,Hydro,2011,1.314
Austria,Hydro,2012,0.813
Austria,Hydro,2013,7.869
Austria,Hydro,2014,2.611
Austria,Hydro,2015,2.167
Austria,Hydro,2016,3.443
Austria,Hydro,2017,2.769
Austria,Hydro,2018,3.306
Austria,Hydro,2019,4.594
Austria,Hydro,2020,5.158
Austria,Hydro,2021,3.797
Austria,Hydro,2022,3.14
Austria,Hydro,2023,4.472
Austria,Hydro,2024,3.145
Austria,Hydrogen & fuel cells,2004,0.0
Austria,Hydrogen & fuel cells,2005,3.98
Austria,Hydrogen & fuel cells,2006,13.451
Austria,Hydrogen & fuel cells,2007,2.373
Austria,Hydrogen & fuel cells,2008,4.749
Austria,Hydrogen & fuel cells,2009,5.216
Austria,Hydrogen & fuel cells,2010,6.886
Austria,Hydrogen & fuel cells,2011,4.158
Austria,Hydrogen & fuel cells,2012,7.072
Austria,Hydrogen & fuel cells,2013,7.205
Austria,Hydrogen & fuel cells,2014,14.875
Austria,Hydrogen & fuel cells,2015,3.003
Austria,Hydrogen & fuel cells,2016,5.504
Austria,Hydrogen & fuel cells,2017,7.973
Austria,Hydrogen & fuel cells,2018,13.661
Austria,Hydrogen & fuel cells,2019,15.615
Austria,Hydrogen & fuel cells,2020,14.112
Austria,Hydrogen & fuel cells,2021,65.532
Austria,Hydrogen & fuel cells,2022,45.656
Austria,Hydrogen & fuel cells,2023,87.694
Austria,Hydrogen & fuel cells,2024,90.157
Austria,Nuclear,1977,24.783
Austria,Nuclear,1978,25.078
Austria,Nuclear,1979,19.274
Austria,Nuclear,1980,17.225
Austria,Nuclear,1981,17.491
Austria,Nuclear,1982,17.936
Austria,Nuclear,1983,24.279
Austria,Nuclear,1984,23.548
Austria,Nuclear,1985,22.246
Austria,Nuclear,1986,7.534
Austria,Nuclear,1987,6.831
Austria,Nuclear,1988,5.578
Austria,Nuclear,1989,4.905
Austria,Nuclear,1990,2.36
Austria,Nuclear,1991,5.604
Austria,Nuclear,1992,4.361
Austria,Nuclear,1993,5.32
Austria,Nuclear,1994,3.859
Austria,Nuclear,1995,3.842
Austria,Nuclear,1996,3.344
Austria,Nuclear,1997,3.982
Austria,Nuclear,1998,5.601
Austria,Nuclear,1999,6.941
Austria,Nuclear,2000,6.278
Austria,Nuclear,2001,7.644
Austria,Nuclear,2002,7.814
Austria,Nuclear,2003,6.468
Austria,Nuclear,2004,7.064
Austria,Nuclear,2005,7.107
Austria,Nuclear,2006,7.683
Austria,Nuclear,2007,6.717
Austria,Nuclear,2008,8.93
Austria,Nuclear,2009,5.883
Austria,Nuclear,2010,5.986
Austria,Nuclear,2011,5.041
Austria,Nuclear,2012,4.729
Austria,Nuclear,2013,4.689
Austria,Nuclear,2014,2.734
Austria,Nuclear,2015,2.305
Austria,Nuclear,2016,2.641
Austria,Nuclear,2017,2.093
Austria,Nuclear,2018,3.093
Austria,Nuclear,2019,2.674
Austria,Nuclear,2020,2.55
Austria,Nuclear,2021,2.489
Austria,Nuclear,2022,2.371
Austria,Nuclear,2023,1.984
Austria,Nuclear,2024,1.597
Austria,Ocean,1978,0.0
Austria,Ocean,1979,0.0
Austria,Ocean,1980,0.0
Austria,Ocean,1981,0.0
Austria,Ocean,1983,0.0
Austria,Ocean,1984,0.0
Austria,Ocean,1985,0.0
Austria,Ocean,1986,0.0
Austria,Ocean,1987,0.0
Austria,Ocean,1988,0.041
Austria,Ocean,1989,0.0
Austria,Ocean,1993,0.0
Austria,Ocean,1994,0.0
Austria,Ocean,1995,0.0
Austria,Ocean,1997,0.0
Austria,Ocean,1998,0.0
Austria,Ocean,1999,0.0
Austria,Ocean,2000,0.0
Austria,Ocean,2001,0.0
Austria,Ocean,2002,0.0
Austria,Ocean,2003,0.0
Austria,Ocean,2004,0.0
Austria,Ocean,2005,0.0
Austria,Ocean,2006,0.0
Austria,Ocean,2007,0.119
Austria,Ocean,2008,0.03
Austria,Ocean,2009,0.47
Austria,Ocean,2010,0.0
Austria,Ocean,2023,0.001
Austria,Solar,1977,8.487
Austria,Solar,1978,8.93
Austria,Solar,1979,12.998
Austria,Solar,1980,13.641
Austria,Solar,1981,5.205
Austria,Solar,1982,4.49
Austria,Solar,1983,5.933
Austria,Solar,1984,3.804
Austria,Solar,1985,4.563
Austria,Solar,1986,2.388
Austria,Solar,1987,3.19
Austria,Solar,1988,2.994
Austria,Solar,1989,1.611
Austria,Solar,1990,0.948
Austria,Solar,1991,3.383
Austria,Solar,1992,4.153
Austria,Solar,1993,3.97
Austria,Solar,1994,5.762
Austria,Solar,1995,5.667
Austria,Solar,1996,3.966
Austria,Solar,1997,4.907
Austria,Solar,1998,8.369
Austria,Solar,1999,4.336
Austria,Solar,2000,5.6
Austria,Solar,2001,4.71
Austria,Solar,2002,6.538
Austria,Solar,2003,7.648
Austria,Solar,2004,3.017
Austria,Solar,2005,4.28
Austria,Solar,2006,3.981
Austria,Solar,2007,5.136
Austria,Solar,2008,8.765
Austria,Solar,2009,16.044
Austria,Solar,2010,27.674
Austria,Solar,2011,31.699
Austria,Solar,2012,22.053
Austria,Solar,2013,26.357
Austria,Solar,2014,34.767
Austria,Solar,2015,16.194
Austria,Solar,2016,21.638
Austria,Solar,2017,14.529
Austria,Solar,2018,17.064
Austria,Solar,2019,13.235
Austria,Solar,2020,9.829
Austria,Solar,2021,7.66
Austria,Solar,2022,16.816
Austria,Solar,2023,8.211
Austria,Solar,2024,14.561
Austria,Wind,1977,1.379
Austria,Wind,1978,2.013
Austria,Wind,1979,1.613
Austria,Wind,1980,0.334
Austria,Wind,1981,0.59
Austria,Wind,1982,2.339
Austria,Wind,1983,0.453
Austria,Wind,1984,0.176
Austria,Wind,1985,0.281
Austria,Wind,1986,0.29
Austria,Wind,1987,0.203
Austria,Wind,1988,0.174
Austria,Wind,1989,0.0
Austria,Wind,1990,0.042
Austria,Wind,1991,0.147
Austria,Wind,1992,0.264
Austria,Wind,1993,0.152
Austria,Wind,1994,0.111
Austria,Wind,1995,1.087
Austria,Wind,1996,0.734
Austria,Wind,1997,1.094
Austria,Wind,1998,1.336
Austria,Wind,1999,0.792
Austria,Wind,2000,0.949
Austria,Wind,2001,0.421
Austria,Wind,2002,0.881
Austria,Wind,2003,1.878
Austria,Wind,2004,0.921
Austria,Wind,2005,0.055
Austria,Wind,2006,0.025
Austria,Wind,2007,0.282
Austria,Wind,2008,1.66
Austria,Wind,2009,1.409
Austria,Wind,2010,4.069
Austria,Wind,2011,2.176
Austria,Wind,2012,0.918
Austria,Wind,2013,2.145
Austria,Wind,2014,1.726
Austria,Wind,2015,0.953
Austria,Wind,2016,3.383
Austria,Wind,2017,0.584
Austria,Wind,2018,0.893
Austria,Wind,2019,1.914
Austria,Wind,2020,1.571
Austria,Wind,2021,3.806
Austria,Wind,2022,3.341
Austria,Wind,2023,1.166
Austria,Wind,2024,4.169
Belgium,Biofuels,1974,0.0
Belgium,Biofuels,1975,0.0
Belgium,Biofuels,1976,1.029
Belgium,Biofuels,1977,0.672
Belgium,Biofuels,1978,0.739
Belgium,Biofuels,1979,2.963
Belgium,Biofuels,1980,1.87
Belgium,Biofuels,1981,5.021
Belgium,Biofuels,1982,6.446
Belgium,Biofuels,1983,9.522
Belgium,Biofuels,1984,11.63
Belgium,Biofuels,1985,11.634
Belgium,Biofuels,1986,1.957
Belgium,Biofuels,1987,0.484
Belgium,Biofuels,1988,0.157
Belgium,Biofuels,1989,0.15
Belgium,Biofuels,1991,0.412
Belgium,Biofuels,1992,3.386
Belgium,Biofuels,1993,2.809
Belgium,Biofuels,1994,4.166
Belgium,Biofuels,1995,4.551
Belgium,Biofuels,1996,1.649
Belgium,Biofuels,1997,1.63
Belgium,Biofuels,1998,1.205
Belgium,Biofuels,1999,0.119
Belgium,Biofuels,2007,7.443
Belgium,Biofuels,2010,0.0
Belgium,Biofuels,2011,5.878
Belgium,Biofuels,2012,9.397
Belgium,Biofuels,2013,14.202
Belgium,Biofuels,2014,18.915
Belgium,Biofuels,2015,10.048
Belgium,Biofuels,2016,11.924
Belgium,Biofuels,2017,8.572
Belgium,Biofuels,2018,7.511
Belgium,Biofuels,2019,1.415
Belgium,Biofuels,2020,5.728
Belgium,Biofuels,2021,0.185
Belgium,Biofuels,2022,5.197
Belgium,Biofuels,2023,7.608
Belgium,Biofuels,2024,16.564
Belgium,CO2 capture & storage,1975,0.0
Belgium,CO2 capture & storage,1977,0.0
Belgium,CO2 capture & storage,1978,0.0
Belgium,CO2 capture & storage,1979,0.0
Belgium,CO2 capture & storage,1980,0.0
Belgium,CO2 capture & storage,1982,0.0
Belgium,CO2 capture & storage,1983,0.0
Belgium,CO2 capture & storage,1985,0.0
Belgium,CO2 capture & storage,1986,0.0
Belgium,CO2 capture & storage,1987,0.0
Belgium,CO2 capture & storage,1988,0.0
Belgium,CO2 capture & storage,1989,0.0
Belgium,CO2 capture & storage,1991,0.0
Belgium,CO2 capture & storage,1992,0.0
Belgium,CO2 capture & storage,1993,0.0
Belgium,CO2 capture & storage,1994,0.0
Belgium,CO2 capture & storage,1995,0.0
Belgium,CO2 capture & storage,1996,0.0
Belgium,CO2 capture & storage,1997,0.0
Belgium,CO2 capture & storage,1998,0.0
Belgium,CO2 capture & storage,2007,0.174
Belgium,CO2 capture & storage,2010,0.0
Belgium,CO2 capture & storage,2011,0.0
Belgium,CO2 capture & storage,2012,4.601
Belgium,CO2 capture & storage,2013,0.0
Belgium,CO2 capture & storage,2014,1.754
Belgium,CO2 capture & storage,2015,3.177
Belgium,CO2 capture & storage,2016,0.0
Belgium,CO2 capture & storage,2018,0.0
Belgium,CO2 capture & storage,2019,0.0
Belgium,CO2 capture & storage,2020,0.154
Belgium,CO2 capture & storage,2021,4.846
Belgium,CO2 capture & storage,2022,35.508
Belgium,CO2 capture & storage,2023,92.939
Belgium,CO2 capture & storage,2024,7.581
Belgium,Geothermal,1974,0.484
Belgium,Geothermal,1975,0.0
Belgium,Geothermal,1976,0.0
Belgium,Geothermal,1977,0.0
Belgium,Geothermal,1978,0.442
Belgium,Geothermal,1979,3.996
Belgium,Geothermal,1980,5.951
Belgium,Geothermal,1981,14.624
Belgium,Geothermal,1982,1.602
Belgium,Geothermal,1983,5.482
Belgium,Geothermal,1984,5.665
Belgium,Geothermal,1985,0.0
Belgium,Geothermal,1986,0.403
Belgium,Geothermal,1987,0.714
Belgium,Geothermal,1988,0.389
Belgium,Geothermal,1989,0.15
Belgium,Geothermal,1993,0.0
Belgium,Geothermal,1994,0.005
Belgium,Geothermal,1995,0.025
Belgium,Geothermal,1996,0.0
Belgium,Geothermal,1997,0.0
Belgium,Geothermal,1998,0.0
Belgium,Geothermal,1999,0.0
Belgium,Geothermal,2007,1.019
Belgium,Geothermal,2010,0.0
Belgium,Geothermal,2011,1.099
Belgium,Geothermal,2012,1.307
Belgium,Geothermal,2013,2.131
Belgium,Geothermal,2014,3.221
Belgium,Geothermal,2015,0.886
Belgium,Geothermal,2016,0.254
Belgium,Geothermal,2017,4.849
Belgium,Geothermal,2018,0.471
Belgium,Geothermal,2019,1.169
Belgium,Geothermal,2020,0.628
Belgium,Geothermal,2021,0.0
Belgium,Geothermal,2022,1.809
Belgium,Geothermal,2023,2.194
Belgium,Geothermal,2024,5.046
Belgium,Hydro,1974,0.0
Belgium,Hydro,1975,0.0
Belgium,Hydro,1976,0.0
Belgium,Hydro,1977,0.0
Belgium,Hydro,1978,0.0
Belgium,Hydro,1979,0.0
Belgium,Hydro,1980,0.0
Belgium,Hydro,1981,0.0
Belgium,Hydro,1982,0.0
Belgium,Hydro,1984,0.0
Belgium,Hydro,1985,0.0
Belgium,Hydro,1987,0.0
Belgium,Hydro,1988,0.0
Belgium,Hydro,1989,0.0
Belgium,Hydro,1992,0.202
Belgium,Hydro,1993,0.132
Belgium,Hydro,1994,0.389
Belgium,Hydro,1995,0.191
